HS Code,Item Description,Basic Duty (SCH),IGST,10% SWS,Total duty with SWS of 10% on BCD
0101 21 00,Pure-bred breeding animals,0,12,0,12.0
0101 29 10,Horses for Polo,30,12,3,48.96
0101 29 90,Other,30,12,3,48.96
0101 30 10,Pure-bred breeding animals,30,0,3,33.0
0101 30 20,Livestock,30,0,3,33.0
0101 30 90,Other,30,0,3,33.0
0101 90 30,Mules and hinnies as livestock,30,0,3,33.0
0101 90 90,Other,30,0,3,33.0
0102 21 10,Bulls,30,0,3,33.0
0102 21 20,Cows,30,0,3,33.0
0102 29 10,Bulls,30,0,3,33.0
0102 29 90,"Other, including calves",30,0,3,33.0
0102 31 00,Pure-bred breeding animals,30,0,3,33.0
0102 39 00,Other,30,0,3,33.0
0102 90 10,Pure-bred breeding animals,30,0,3,33.0
0102 90 90,Other,30,0,3,33.0
0103 10 00,Pure-bred breeding animals,30,0,3,33.0
0103 91 00,Weighing less than 50 kg.,30,0,3,33.0
0103 92 00,Weighing 50 kg. or more,30,0,3,33.0
0104 10 10,Sheep including lamb for breeding purpose,30,0,3,33.0
0104 10 90,Other,30,0,3,33.0
0104 20 00,Goats,30,0,3,33.0
0105 11 00,Fowls of the species Gallus domesticus,30,0,3,33.0
0105 12 00,Turkeys,30,0,3,33.0
0105 13 00,Ducks ,30,0,3,33.0
0105 14 00,Geese ,30,0,3,33.0
0105 15 00,Guinea fowls ,30,0,3,33.0
0105 94 00,Fowls of the species Gallus domesticus*,30,0,3,33.0
0105 99 00,Other,30,0,3,33.0
0106 11 00,Primates,30,0,3,33.0
0106 12 00,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the sub-order Pinnipedia)",30,0,3,33.0
0106 13 00,Camels and other camelids (Camelidae),30,0,3,33.0
0106 14 00,Rabbits and hares,30,0,3,33.0
0106 19 00,Other,30,0,3,33.0
0106 20 00,Reptiles (including snakes and turtles),30,0,3,33.0
0106 31 00,Birds of prey,30,0,3,33.0
